iteration,elapsed_s,period_ms,gello_read_ms,send_action_ms,work_ms,cycle_ms
0,0.0,,0.03361899871379137,2.0377840264700353,2.0785100059583783,17.061961989384145
1,0.017073830997105688,17.073830997105688,0.15385501319542527,2.730745996814221,2.8936819871887565,16.73555898014456
2,0.03382615599548444,16.752324998378754,0.17009797738865018,0.479998008813709,0.6644109962508082,16.727722017094493
3,0.050561748968902975,16.735592973418534,0.12015900574624538,0.66488201264292,0.7914940360933542,16.734094999264926
4,0.06730220996541902,16.74046099651605,0.08934602374210954,1.1541679850779474,1.2487100320868194,16.728746006265283
5,0.08403389196610078,16.731682000681758,0.05335896275937557,0.6980980397202075,0.7543610408902168,16.735639015678316
6,0.10077190300216898,16.7380110360682,0.03140798071399331,1.1412790045142174,1.1742159840650856,16.726161004044116
7,0.11749993497505784,16.728031972888857,0.02762803342193365,1.0537970229052007,1.082850038073957,16.808748012408614
8,0.1343199129914865,16.81997801642865,0.07615401409566402,0.507908989675343,0.5921359988860786,16.988286981359124
9,0.151319983007852,17.0000700163655,0.07178197847679257,0.7077450281940401,0.7880069897510111,16.730383969843388
10,0.16805552499135956,16.735541983507574,0.06144202779978514,3.0443629948422313,3.109743003733456,16.800008015707135
11,0.1848651620093733,16.809637018013746,0.0850060023367405,0.5524060106836259,0.644286978058517,16.73028594814241
12,0.20160028099780902,16.735118988435715,0.05267397500574589,0.5509050097316504,0.6068989750929177,16.746959008742124
13,0.21835765900323167,16.75737800542265,0.07784500485286117,0.4605540307238698,0.5464479909278452,16.747111978475004
14,0.23511412896914408,16.7564699659124,0.10301900329068303,0.4582429537549615,0.5677189910784364,16.726239991839975
15,0.25184500799514353,16.730879025999457,0.04851899575442076,0.5776140023954213,0.6292979815043509,16.74125698627904
16,0.26859717699699104,16.752169001847506,0.08829898433759809,0.6415509851649404,0.7377109723165631,16.798536002170295
17,0.28540541196707636,16.808234970085323,0.09149499237537384,1.0924580274149776,1.1907500447705388,16.731876006815583
18,0.30214371299371123,16.738301026634872,0.05751301068812609,0.4842879716306925,0.5455259815789759,16.734995995648205
19,0.3188833720050752,16.739659011363983,0.050389033276587725,0.5247310036793351,0.578342005610466,16.728002985473722
20,0.33561627997551113,16.732907970435917,0.05267304368317127,0.6639679777435958,0.7199940155260265,16.804276034235954
21,0.35242572595598176,16.809445980470628,0.05559896817430854,0.6558820023201406,0.7149730226956308,16.797112009953707
22,0.36922777898143977,16.802053025458008,0.05379802314564586,0.7024749647825956,0.7595819770358503,16.82867098134011
23,0.3860678619821556,16.840083000715822,0.06884901085868478,0.5202849861234426,0.5972009967081249,16.73991500865668
24,0.40281730401329696,16.74944203114137,0.09195401798933744,0.537505024112761,0.6362459971569479,16.733980970457196
