iteration,elapsed_s,period_ms,gello_read_ms,safety_guard_ms,guard_path,servo_j_ms,send_action_ms,work_ms,cycle_ms
0,0.0,,0.03902398748323321,0.015595986042171717,rt_fast_path,0.4144310369156301,0.44724904000759125,0.491390994284302,16.73265197314322
1,0.01674514397745952,16.74514397745952,0.13287801994010806,0.028134032618254423,rt_fast_path,0.36018999526277184,0.4103669780306518,0.5490499897859991,16.728842980228364
2,0.03348219598410651,16.73705200664699,0.10142498649656773,0.025294022634625435,rt_fast_path,0.2546430332586169,0.29763998463749886,0.4036459722556174,16.727340000215918
3,0.050216548959724605,16.734352975618094,0.07815699791535735,0.021363957785069942,rt_fast_path,0.3818630357272923,0.4175130161456764,0.4995720228180289,16.722680011298507
4,0.0669462779769674,16.72972901724279,0.07939402712509036,0.02273696009069681,rt_fast_path,0.24957198183983564,0.2862699911929667,0.3692739992402494,16.72156702261418
5,0.08367399196140468,16.727713984437287,0.06045098416507244,0.017479993402957916,rt_fast_path,0.22628199076279998,0.25549501879140735,0.31839101575315,16.725160006899387
6,0.10040677495999262,16.732782998587936,0.08031900506466627,0.01933303428813815,rt_fast_path,0.2227440127171576,0.25525898672640324,0.33979403087869287,16.784219013061374
7,0.11719987000105903,16.793095041066408,0.07747102063149214,0.020867970306426287,rt_fast_path,0.3562539932318032,0.39102998562157154,0.4723469610325992,16.721945954486728
8,0.13392747595207766,16.72760595101863,0.06013800157234073,0.017993967048823833,rt_fast_path,0.19216298824176192,0.22268295288085938,0.28557400219142437,16.85668301070109
9,0.15079306496772915,16.865589015651494,0.12196897296234965,0.04153797635808587,rt_fast_path,0.9057020070031285,0.9826809982769191,1.1096560047008097,16.727887035813183
10,0.1675271109561436,16.734045988414437,0.06775296060368419,0.018761027604341507,rt_fast_path,0.3560850163921714,0.38817402673885226,0.45875803334638476,16.71051001176238
11,0.18424371897708625,16.716608020942658,0.06810296326875687,0.019517960026860237,rt_fast_path,0.21366699365898967,0.2469750470481813,0.31850102823227644,16.72531699296087
12,0.20097519794944674,16.73147897236049,0.06883300375193357,0.018268008716404438,rt_fast_path,0.25828799698501825,0.2895219950005412,0.360954029019922,16.722437052521855
13,0.2177037299843505,16.728532034903765,0.06501097232103348,0.01800601603463292,rt_fast_path,0.3234280156902969,0.3535220166668296,0.4224680014885962,16.721840016543865
14,0.2344349499908276,16.731220006477088,0.05906197475269437,0.02357899211347103,rt_fast_path,0.35741401370614767,0.39877998642623425,0.46493596164509654,16.72135799890384
15,0.25116120296297595,16.72625297214836,0.050431001000106335,0.016561010852456093,rt_fast_path,0.33434899523854256,0.36090402863919735,0.4138540243729949,16.72312500886619
16,0.26788972597569227,16.728523012716323,0.04372798139229417,0.013416982255876064,rt_fast_path,0.3371360362507403,0.35996304359287024,0.4056040197610855,16.75994897959754
17,0.28465814498486,16.7684190091677,0.09510398376733065,0.02051901537925005,rt_fast_path,0.5046920268796384,0.5417310167104006,0.6405889871530235,16.752106021158397
18,0.3014169899979606,16.758845013100654,0.08558400440961123,0.020344043150544167,rt_fast_path,0.44359901221469045,0.48681197222322226,0.5762059590779245,16.785251966211945
19,0.3182129379711114,16.79594797315076,0.08306402014568448,0.021827989257872105,rt_fast_path,0.3143170033581555,0.3507169894874096,0.4375189892016351,16.73641602974385
20,0.33496586000546813,16.752922034356743,0.1111660385504365,0.01828098902478814,rt_fast_path,1.460659026633948,1.4994979719631374,1.6179969534277916,16.744159976951778
21,0.35172747797332704,16.76161796785891,0.10443700011819601,0.020190957002341747,rt_fast_path,0.5487669841386378,0.5830340087413788,0.6952920230105519,16.727095004171133
22,0.36846227798378095,16.73480001045391,0.08161901496350765,0.02197897993028164,rt_fast_path,0.5559510318562388,0.5915430374443531,0.6781130214221776,16.72469696495682
23,0.38519366696709767,16.73138898331672,0.09171501733362675,0.02597598358988762,rt_fast_path,0.47771300887688994,0.5189529620110989,0.6142299971543252,16.72696799505502
24,0.4019292919547297,16.735624987632036,0.487950979731977,0.022222986444830894,rt_fast_path,0.3496550489217043,0.3877099952660501,0.8807550184428692,16.7261510505341
25,0.41866478096926585,16.735489014536142,0.07008202373981476,0.018373015336692333,rt_fast_path,0.68139802897349,0.7169719901867211,0.7906859973445535,16.693748999387026
26,0.4353672789875418,16.702498018275946,0.07624702993780375,0.021298008505254984,rt_fast_path,0.6485370104201138,0.6876239785924554,0.7675699889659882,16.738686012104154
27,0.4521162929595448,16.749013972003013,0.08989300113171339,0.04363700281828642,rt_fast_path,0.8349429699592292,0.8992769871838391,0.9934440022334456,16.743607993703336
